Establishment Name,Inspection Date,Severity,Latitude,Longitude,Infraction Details
# HASHTAG INDIA RESTAURANT,2022-08-10,C - Crucial,43.72199,-79.30349,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
# HASHTAG INDIA RESTAURANT,2023-04-04,C - Crucial,43.72199,-79.30349,Food premise maintained in manner to permit contamination of single-service articles - Sec. 7(1)(h)  
1688 DIM SUM,2022-09-22,C - Crucial,43.78538,-79.27752,Fail to protect food from contamination or adulteration - Sec. 26(1) 
19 EATERY,2023-02-16,C - Crucial,43.77914,-79.4174,Fail to protect food from contamination or adulteration - Sec. 26(1) 
19 EATERY,2023-02-16,C - Crucial,43.77914,-79.4174,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food areas - Sec.  33(1)(e)
19 EATERY,2023-02-16,C - Crucial,43.77914,-79.4174,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1)
2-4-1 PIZZA,2023-09-28,C - Crucial,43.74284,-79.30787,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
225 MORNINGSIDE FOOD BANK,2022-09-30,C - Crucial,43.76711,-79.18501,Distribute potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
244 PIZZA & WINGS,2023-09-08,C - Crucial,43.6872,-79.49055,Fail to protect food from contamination or adulteration - Sec. 26(1) 
3 EGGS ALL DAY PUB & GRILL,2024-02-08,C - Crucial,43.70059,-79.42851,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
34 CAFE,2023-12-13,C - Crucial,43.72581,-79.48061,Fail to protect food from contamination or adulteration - Sec. 26(1) 
369 MART,2024-02-26,C - Crucial,43.71898,-79.5078,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
5 ELEMENTS ESPRESSO BAR,2022-10-25,C - Crucial,43.6738,-79.39587,Fail to protect food from contamination or adulteration - Sec. 26(1) 
5 ELEMENTS ESPRESSO BAR,2022-10-25,C - Crucial,43.6738,-79.39587,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
5 ELEMENTS ESPRESSO BAR,2023-06-07,C - Crucial,43.6738,-79.39587,Offer for sale potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
5 ELEMENTS ESPRESSO BAR,2023-06-07,C - Crucial,43.6738,-79.39587,Fail to protect food from contamination or adulteration - Sec. 26(1) 
5 SPICE DINING,2022-08-19,C - Crucial,43.82307,-79.24781,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
5 SPICE DINING,2022-08-19,C - Crucial,43.82307,-79.24781,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
5 SPICE DINING,2024-02-26,C - Crucial,43.82307,-79.24781,Fail to protect food from contamination or adulteration - Sec. 26(1) 
TCHC COMMUNITY KITCHEN,2023-02-14,C - Crucial,43.70596,-79.27905,Fail to protect food from contamination or adulteration - Sec. 26(1) 
TCHC COMMUNITY KITCHEN,2023-08-25,C - Crucial,43.70596,-79.27905,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
6ixTriangles,2023-06-30,C - Crucial,43.6395,-79.42193,Fail to protect food from contamination or adulteration - Sec. 26(1) 
7-ELEVEN,2024-04-24,C - Crucial,43.72047,-79.51357,Distribute potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
8 MILE PIZZA,2024-05-14,C - Crucial,43.66849,-79.38682,Fail to protect food from contamination or adulteration - Sec. 26(1) 
955 CHINESE FOOD,2024-05-24,C - Crucial,43.67308,-79.28672,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
99 SUSHI,2023-08-21,C - Crucial,43.70804,-79.39322,Store ice in unsanitary manner - Sec.  26(5) 
99 SUSHI,2023-08-21,C - Crucial,43.70804,-79.39322,Fail to protect food from contamination or adulteration - Sec. 26(1) 
A & C HOT PEPPER TAKE-OUT RESTAURANT,2024-02-22,C - Crucial,43.67393,-79.46017,Hot-holding potentially hazardous foods at internal temperature below 60 C - Sec. 30(a)
A & C HOT PEPPER TAKE-OUT RESTAURANT,2024-02-22,C - Crucial,43.67393,-79.46017,Food premise maintained in manner to permit contamination of single-service containers - Sec. 7(1)(h)  
A BBQ HOUSE,2024-05-06,C - Crucial,43.66709,-79.38569,Fail to protect food from contamination or adulteration - Sec. 26(1) 
