Establishment Name,Inspection Date,Severity,Latitude,Longitude,Infraction Details
# HASHTAG INDIA RESTAURANT,2022-08-10,C - Crucial,43.722528710619756,-79.30356803301893,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
# HASHTAG INDIA RESTAURANT,2023-04-04,C - Crucial,43.72160299918052,-79.3036822033778,Food premise maintained in manner to permit contamination of single-service articles - Sec. 7(1)(h)  
1688 DIM SUM,2022-09-22,C - Crucial,43.785071816168625,-79.27739172952104,Fail to protect food from contamination or adulteration - Sec. 26(1) 
19 EATERY,2023-02-16,C - Crucial,43.77949630217799,-79.41743835450987,Fail to protect food from contamination or adulteration - Sec. 26(1) 
19 EATERY,2023-02-16,C - Crucial,43.77893009611431,-79.41733526889797,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food areas - Sec.  33(1)(e)
19 EATERY,2023-02-16,C - Crucial,43.779178776198684,-79.41722135844523,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1)
2-4-1 PIZZA,2023-09-28,C - Crucial,43.743001589982285,-79.30791494066371,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
225 MORNINGSIDE FOOD BANK,2022-09-30,C - Crucial,43.766666598816315,-79.1847389286561,Distribute potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
244 PIZZA & WINGS,2023-09-08,C - Crucial,43.68727921341746,-79.4906065561554,Fail to protect food from contamination or adulteration - Sec. 26(1) 
3 EGGS ALL DAY PUB & GRILL,2024-02-08,C - Crucial,43.70062525982913,-79.42810880204259,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
34 CAFE,2023-12-13,C - Crucial,43.726313291448186,-79.48084687930589,Fail to protect food from contamination or adulteration - Sec. 26(1) 
369 MART,2024-02-26,C - Crucial,43.71858559372065,-79.50787706855039,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
